# TRANSCRIPCION - Modulo 4: Che lavoro fai?
# URL: https://youtu.be/VsEBjpQTlyY
# Idioma: it
# Segmentos: 40
============================================================

[00:00]  [Musica]
[00:52]  buongiorno buongiorno si accomodi pure
[01:02]  mi dica dunque sto cercando un lavoro
[01:05]  cosa devo fare per prima cosa deve
[01:08]  iscriversi al centro per l'impiego come
[01:10]  si fa posso aiutarla adesso io a farlo
[01:13]  non bene grazie
[01:14]  dopodiché quando abbiamo finito le però
[01:16]  qualche informazione su cosa fare per
[01:18]  cercare lavoro
[01:19]  va bene allora mi serve la carta
[01:22]  d'identità e il codice fiscale il
[01:24]  permesso di soggiorno
[01:25]  grazie non si preoccupi è un po di tata
[01:36]  allora scriviamo subito i suoi dati
[01:42]  anagrafici dunque samira di lire nata
[01:49]  suo mare
[01:52]  ok allora lei ha mai lavorato in italia
[01:56]  no non ho mai lavorato nel suo paese ha
[01:59]  fatto qualche lavoro no non ho mai
[02:01]  lavorato neanche in somalia ma mi piace
[02:04]  stare con gli anziani i bambini nel mio
[02:08]  paese ho curato i figli delle mie amiche
[02:10]  ei vini nipoti anche i miei nonni ei
[02:13]  genitori di mio marito
[02:15]  bene allora possiamo mettere che vuoi
[02:18]  lavorare nel campo dell'assistenza e
[02:19]  cura la persona si dice così per parlare
[02:22]  di questo lavoro
[02:23]  ok ok assistenza
[02:30]  va bene per caso a qualche attestato di
[02:32]  un corso fatto in italia o diplomi di
[02:34]  scuola
[02:35]  no non ancora
[02:40]  adesso direi che possiamo stampare
[02:44]  ecco questa è la dichiarazione di
[02:47]  immediata disponibilità al lavoro può
[02:49]  firmare qui che prevede anche la
[02:51]  partecipazione ad eventuale attività
[02:52]  formative

============================================================
# TEXTO COMPLETO (sin timestamps):

[Musica] buongiorno buongiorno si accomodi pure mi dica dunque sto cercando un lavoro cosa devo fare per prima cosa deve iscriversi al centro per l'impiego come si fa posso aiutarla adesso io a farlo non bene grazie dopodiché quando abbiamo finito le però qualche informazione su cosa fare per cercare lavoro va bene allora mi serve la carta d'identità e il codice fiscale il permesso di soggiorno grazie non si preoccupi è un po di tata allora scriviamo subito i suoi dati anagrafici dunque samira di lire nata suo mare ok allora lei ha mai lavorato in italia no non ho mai lavorato nel suo paese ha fatto qualche lavoro no non ho mai lavorato neanche in somalia ma mi piace stare con gli anziani i bambini nel mio paese ho curato i figli delle mie amiche ei vini nipoti anche i miei nonni ei genitori di mio marito bene allora possiamo mettere che vuoi lavorare nel campo dell'assistenza e cura la persona si dice così per parlare di questo lavoro ok ok assistenza va bene per caso a qualche attestato di un corso fatto in italia o diplomi di scuola no non ancora adesso direi che possiamo stampare ecco questa è la dichiarazione di immediata disponibilità al lavoro può firmare qui che prevede anche la partecipazione ad eventuale attività formative
