# TRANSCRIPCION - Modulo 0: Come ti chiami?
# URL: https://youtu.be/6R_4YRTshIg
# Idioma: it
# Segmentos: 42
============================================================

[00:00]  Ciao a tutti!
[00:01]  Noi siamo LearnAmo e vi aiuteremo ad imparare o migliorare la vostra lingua italiana.
[00:10]  Come ogni prima lezione che si rispetti, partiremo dall'alfabeto.
[00:20]  Conoscete l'alfabeto italiano?
[00:24]  Eccolo qui!
[00:26]  Vi leggo tutte le lettere: “A”, “B”, “C”, “D”, “E”, “F”, “G”,
[00:39]  “H”, “I”, “J”, “K”, “L”, “M”, “N”, “O”, “P” , “Q”,
[00:52]  “R”, “S”, “T”, “U”, "V", “W”, “X”, “Y”, “Z”, in rosso trovate
[01:07]  le “vocali”, in blu le “consonanti”, mentre in verde le “lettere straniere”,
[01:18]  quelle lettere che, un tempo, non facevano parte dell'alfabeto italiano ma che, ormai,
[01:27]  sono entrate a farne parte.
[01:29]  Ma vediamole nel dettaglio.
[01:32]  Allora, partiamo dalla prima lettera, prima vocale “a”.
[01:39]  Ho deciso di farvi fare anche un tour nella nostra amata Italia, nel nostro Bel Paese,
[01:50]  quindi ho associato ad ogni lettera una città.
[01:54]  Per la “A” → Ancona, “B”come Bologna, “C” come Cagliari.
[02:04]  Andiamo avanti, “D” come Domodossola, “E” come Enna, “F” come Firenze, conosciuta
[02:21]  in tutto il mondo per la sua arte.
[02:24]  “G” come Genova, città sul mare, “H” come l'hotel che, sicuramente, prenoterete
[02:37]  per il vostro viaggio, in una di queste città.
[02:40]  “I” come Isernia, “L” come Livorno, “M” come Milano e il suo Duomo, “N”come
[02:57]  Napoli, la città della pizza.
[03:00]  “O” come Ostuni, la Città Bianca, “P” come Palermo, “Q” come Quarto, “R”
[03:15]  come, la nostra capitale, Roma, “S” come Sassari, “T” come Torino, “U” come
[03:32]  Urbino, “V” come Venezia, la città delle gondole, “Z” come Zagarolo, sicuramente
[03:44]  non avete sentito nominare questo paese perché, effettivamente, ci sono pochi paesi che cominciano
[03:52]  con la lettera “Z”.
[03:54]  In ogni caso, adesso vediamo le lettere straniere, lettere che, come vi dicevo prima, non facevano
[04:04]  parte, un tempo, dell'alfabeto italiano ma, ormai, dal momento che utilizziamo quotidianamente
[04:12]  parole come: “jeans”, “yogurt”, “xbox”, “wurstel”, “ketchup”, sono entrate
[04:20]  nel nostro alfabeto però le utilizziamo soltanto, appunto, per parole straniere... non ci sono
[04:28]  parole italiane con queste lettere.
[04:32]  Allora, per oggi, la nostra lezione finisce qui, però, se volete la spiegazione scritta
[04:41]  e tutti gli esercizi su questo argomento, andate sul nostro sito www.learnamo.com, troverete
[04:50]  il link diretto nella descrizione.
[04:53]  Inoltre, per qualsiasi dubbio o richieste per nuovi video, mandateci una mail a info@learnamo.com.
[05:03]  Se il video vi è piaciuto, lasciate un mi piace e iscrivetevi al nostro canale YouTube;
[05:10]  inoltre continuate a seguirci anche su Facebook, Instagram e Twitter per tante novità.
[05:17]  And guys, if you think your Italian isn’t so good, you can even send us an email or a message
