============================================================
Modulo 5 - Che ore sono?
Idioma: it  |  Fragmentos: 29
============================================================

[00:00]  Buongiorno. Prego. Cosa prende?
[00:03]  >> Buongiorno. Io vorrei una spremuta
[00:05]  d'arancia, per favore, con le arance
[00:07]  rosse, se possibile.
[00:10]  >> Certo, signora. E lei, signore?
[00:13]  Per me è un tramezzino con prosciutto
[00:15]  crudo e mozzarella e una birra piccola.
[00:18]  E poi volete anche il dolce?
[00:21]  >> Sì. Tirami su e una panna cotta. Grazie.
[00:25]  Quanto costa tutto?
[00:27]  >> €12,50,
[00:28]  signora.
[00:30]  Che confusione! Scusi, questo non è il
[00:32]  mio caffè.
[00:34]  >> Mi scusi tanto. Ecco il suo caffè
[00:36]  macchiato freddo, signora.
[00:38]  >> Grazie. Senta, ha anche dei biscotti. Ho
[00:42]  un po' di fame.
[00:43]  >> Certo, abbiamo crostate, cornetti e
[00:46]  biscotti alle mandorle. Cosa preferisce?
[00:50]  >> Prendo due biscotti alle mandorle.
[00:52]  Grazie.
[00:53]  >> Scusi, posso avere anche il conto?
[00:55]  Dobbiamo andare subito. In totale sono
[00:59]  €15,80.
[01:02]  >> Paghiamo metà per uno.
[01:03]  >> Ecco €7,90.
[01:06]  >> Perfetto. Grazie e arrivederci. Buona
[01:09]  giornata.
